"","X.1","club.to","X","name","transfer.date","club.from","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","league","Status","searchresults"
"176",176,"Everton",80,"David Henen","2015/7/2","Olympiacos",238000,"
                                Attacker                            ","Belgium","Libramont-Chevigny",15,4,2,1,1,1,0,0,0,294,1175,35.9425051334702,"1996/4/19",19.2005475701574,"Premier league","Middle Club",3330
"177",177,"Everton",74,"Ramiro Funes Mori","2015/9/1","River Plate",10970000,"
                                Defender                            ","Argentina","Mendoza",51,6,2,1,1,17,0,1,0,757,4540,NA,"1991/3/5",24.4928131416838,"Premier league","Middle Club",17100
"178",178,"Everton",75,"Gerard Deulofeu","2015/7/1","FC Barcelona",5100000,"
                                Attacker                            ","Spain","Riudarenes",28,3,10,13,13,1,0,0,0,443,1328,23.9835728952772,"1994/3/13",21.3004791238877,"Premier league","Middle Club",32700
"179",179,"Everton",76,"Aaron Lennon","2015/9/1","Spurs",5100000,"
                                Attacker                            ","England","Chapeltown",31,2,3,11,11,3,0,0,0,905,1810,9.95482546201232,"1987/4/16",28.3778234086242,"Premier league","Middle Club",298000
"180",180,"Everton",77,"Shani Tarashaj","2016/1/7","Grasshoppers",3400000,"
                                Attacker                            ","Switzerland","Hausen am Albis",28,3,0,21,21,2,0,0,0,317,952,NA,"1995/2/7",20.9144421629021,"Premier league","Middle Club",2490
"181",181,"FC Augsburg",213,"Albian Ajeti","2016/1/8","FC Basel",850000,"
                                Attacker                            ","Switzerland","Basel",35,20,3,6,6,5,0,0,0,132,2645,NA,"1997/2/26",18.8637919233402,"Bundesliga","Top Club",690
"182",182,"FC Augsburg",212,"Dominik Kohr","2015/7/1","Bay. Leverkusen",1190000,"
                                Midfield                            ","Germany","Trier",27,1,1,7,7,10,0,0,0,1698,1698,11.9917864476386,"1994/1/31",21.4127310061602,"Bundesliga","Top Club",13900
"183",183,"FC Augsburg",208,"Ja-Cheol Koo","2015/8/31","1.FSV Mainz 05",4250000,"
                                Midfield                            ","Korea, South","Nonsan",26,7,2,7,7,3,0,0,3,250,1749,33.9712525667351,"1989/2/27",26.5051334702259,"Bundesliga","Top Club",53500
"184",184,"FC Augsburg",216,"Piotr Trochowski","2015/7/21","Sevilla FC",0,"
                                Midfield                            ","Germany","Tczew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1984/3/22",31.3292265571526,"Bundesliga","Top Club",7480
"185",185,"FC Augsburg",215,"Daniel Opare","2015/8/13","FC Porto",0,"
                                Defender                            ","Ghana","Accra",13,1,0,0,0,4,0,0,0,1031,1031,34.5626283367556,"1990/10/18",24.8186173853525,"Bundesliga","Top Club",12400
"186",186,"FC Augsburg",210,"Jeffrey Gouweleeuw","2016/1/9","AZ Alkmaar",2550000,"
                                Defender                            ","Netherlands","Heemskerk",38,2,3,0,0,5,0,0,0,1710,3420,29.6673511293634,"1991/7/10",24.5010266940452,"Bundesliga","Top Club",4560
"187",187,"FC Augsburg",211,"Konstantinos Stafylidis","2015/8/20","Bay. Leverkusen",2130000,"
                                Defender                            ","Greece","Thessaloniki",44,0,1,4,4,5,1,0,0,NA,3611,34.3326488706366,"1993/12/2",21.7138945927447,"Bundesliga","Top Club",1630
"188",188,"FC Augsburg",209,"Philipp Max","2015/8/4","Karlsruher SC",3230000,"
                                Defender                            ","Germany","Viersen",26,0,1,0,0,4,0,0,0,NA,2324,22.8665297741273,"1993/9/30",21.8425735797399,"Bundesliga","Top Club",2550
"189",189,"FC Barcelona",329,"Aleix Vidal","2015/7/1","Sevilla FC",14450000,"
                                Defender                            ","Spain","Valls",47,6,11,11,11,10,0,0,0,565,3389,47.9671457905544,"1989/8/21",25.8590006844627,"La Liga","Top Club",22000
"190",190,"FC Barcelona",328,"Arda Turan","2015/7/6","Atlético Madrid",28900000,"
                                Midfield                            ","Turkey","Istanbul",46,3,6,6,6,8,1,0,0,1128,3384,23.8193018480493,"1987/1/30",28.4298425735797,"La Liga","Top Club",144000
"191",191,"FC Empoli",667,"Rade Krunic","2015/7/11","Borac Cacak",0,"
                                Midfield                            ","Bosnia-Herzegovina","Foca",25,3,2,4,4,8,0,0,0,582,1745,NA,"1993/10/7",21.7577002053388,"Serie A","Middle Club",780
"192",192,"FC Empoli",666,"Kastriot Dermaku","2015/7/1","AS Melfi",0,"
                                Defender                            ","Albania","Scandiano",35,3,0,0,0,7,0,0,0,1009,3027,NA,"1992/1/15",23.4579055441478,"Serie A","Middle Club",550
"193",193,"FC Empoli",661,"Riccardo Saponara","2015/7/1","AC Milan",3400000,"
                                Midfield                            ","Italy","Forlì",19,7,4,0,0,2,1,0,1,196,1371,NA,"1991/12/21",23.5263518138261,"Serie A","Middle Club",5010
"194",194,"FC Empoli",665,"Marco Zambelli","2015/8/13","Brescia",0,"
                                Defender                            ","Italy","Gavardo",41,0,3,1,1,5,0,0,0,NA,3450,NA,"1985/8/22",29.9739904175222,"Serie A","Middle Club",877
"195",195,"FC Empoli",662,"Luca Bittante","2015/7/17","Fiorentina",680000,"
                                Defender                            ","Italy","Bassano del Grappa",37,1,1,8,8,6,0,0,0,2597,2597,NA,"1993/8/14",21.9219712525667,"Serie A","Middle Club",1010
"196",196,"FC Empoli",668,"Andrea Costa","2015/7/21","Parma",0,"
                                Defender                            ","Italy","Reggio Emilia",22,1,0,2,2,4,0,0,0,1794,1794,NA,"1986/2/1",29.4647501711157,"Serie A","Middle Club",3220
"197",197,"FC Empoli",664,"Michele Camporese","2015/7/24","Fiorentina",425000,"
                                Defender                            ","Italy","Tirrenia",22,0,2,2,2,2,0,0,0,NA,1767,11.2361396303901,"1992/5/19",23.1786447638604,"Serie A","Middle Club",1130
"198",198,"FC Empoli",663,"Luca Bittante","2015/7/17","Fiorentina",680000,"
                                Defender                            ","Italy","Bassano del Grappa",37,1,1,8,8,6,0,0,0,2597,2597,NA,"1993/8/14",21.9219712525667,"Serie A","Middle Club",1010
"199",199,"FC Ingolstadt",312,"Darío Lezcano","2016/1/15","FC Luzern",2130000,"
                                Attacker                            ","Paraguay","Asunción",38,15,4,6,6,7,0,1,0,199,2983,5.48665297741273,"1990/6/30",25.5441478439425,"Bundesliga","Promoted",1700
"200",200,"FC Ingolstadt",313,"Elias Kachunga","2015/7/1","SC Paderborn",1280000,"
                                Attacker                            ","Germany","Köln",32,6,1,8,8,4,0,0,0,368,2210,11.9917864476386,"1992/4/22",23.1895961670089,"Bundesliga","Promoted",3230
"201",201,"FC Ingolstadt",315,"Markus Suttner","2015/7/1","Austria Vienna",595000,"
                                Defender                            ","Austria","Hollabrunn",36,1,4,1,1,8,0,0,0,3013,3013,11.9917864476386,"1987/4/16",28.208076659822,"Bundesliga","Promoted",962
"202",202,"FC Ingolstadt",316,"Maurice Multhaup","2015/8/31","FC Schalke 04",425000,"
                                Midfield                            ","Germany","Bottrop",27,8,6,8,8,3,0,0,0,219,1755,9.98767967145791,"1996/12/15",18.7077344284736,"Bundesliga","Promoted",504
"203",203,"FC Ingolstadt",317,"Romain Brégerie","2015/7/1","SV Darmstadt 98",0,"
                                Defender                            ","France","Talence",34,6,2,0,0,1,1,0,2,506,3038,NA,"1986/8/9",28.8925393566051,"Bundesliga","Promoted",1170
"204",204,"FC Lorient",853,"Pape Paye","2015/7/1","Dijon",0,"
                                Defender                            ","France","Lyon",16,0,0,0,0,2,0,0,0,NA,1469,NA,"1990/5/31",25.0841889117043,"Ligue 1","Buttom Club",557
"205",205,"FC Lorient",849,"Jimmy Cabot","2016/1/30","Troyes",1530000,"
                                Attacker                            ","France","Chambéry",14,1,0,13,13,1,0,0,0,309,309,NA,"1994/4/18",21.7850787132101,"Ligue 1","Buttom Club",1070
"206",206,"FC Lorient",851,"Benjamin Moukandjo","2015/8/5","Reims",1280000,"
                                Attacker                            ","Cameroon","Douala",32,8,1,12,12,3,0,0,1,251,2004,NA,"1988/11/12",26.7268993839836,"Ligue 1","Buttom Club",10300
"207",207,"FC Lorient",852,"Moryké Fofana","2015/7/22","Lilleström SK",340000,"
                                Attacker                            ",NA,NA,18,9,5,0,0,4,0,0,2,173,1561,5.3223819301848,"1991/11/23",23.6605065023956,"Ligue 1","Buttom Club",170
"208",208,"FC Lorient",848,"Waris Majeed","2015/8/6","Trabzonspor",3830000,"
                                Attacker                            ","Ghana","Tamale",30,4,2,12,12,3,0,0,0,439,1754,34.7926078028747,"1991/9/19",23.8795345653662,"Ligue 1","Buttom Club",1610
"209",209,"FC Lorient",850,"Zargo Touré","2015/8/31","AC Le Havre",1280000,"
                                Defender                            ","Senegal","Dakar",33,0,0,2,2,1,0,1,0,NA,2764,9.98767967145791,"1989/11/11",25.8015058179329,"Ligue 1","Buttom Club",940
"210",210,"FC Nantes",836,"Kolbeinn Sigthórsson","2015/7/2","AFC Ajax",2550000,"
                                Attacker                            ","Iceland","Reykjavík",27,7,5,9,9,2,0,0,0,226,1582,11.958932238193,"1990/3/14",25.3004791238877,"Ligue 1","Middle Club",16500
"211",211,"FC Nantes",837,"Guillaume Gillet","2016/1/1","RSC Anderlecht",1700000,"
                                Midfield                            ","Belgium","Liège",44,3,2,1,1,6,0,0,0,1317,3950,NA,"1984/3/9",31.813826146475,"Ligue 1","Middle Club",4450
"212",212,"FC Nantes",838,"Emiliano Sala","2015/7/20","G. Bordeaux",850000,"
                                Attacker                            ","Argentina","Cululu las Colonias",25,6,3,14,14,2,0,0,2,217,1299,NA,"1990/10/31",24.7173169062286,"Ligue 1","Middle Club",25800
"213",213,"FC Nantes",839,"Adrien Thomasson","2015/7/1","Évian",680000,"
                                Midfield                            ","France","Bourg-Saint-Maurice",24,2,7,3,3,2,0,0,0,921,1841,NA,"1993/12/10",21.555099247091,"Ligue 1","Middle Club",501
"214",214,"FC Nantes",840,"Lorik Cana","2015/8/31","Lazio",170000,"
                                Defender                            ","Albania","Prishtinë",20,0,0,2,2,7,2,0,0,NA,1549,NA,"1983/7/27",32.0958247775496,"Ligue 1","Middle Club",19700
"215",215,"FC Nantes",841,"Wilfried Moimbé","2015/7/1","Stade Brest 29",0,"
                                Defender                            ","France","Vichy",30,1,2,0,0,5,1,1,0,2732,2732,NA,"1988/10/18",26.6995208761123,"Ligue 1","Middle Club",585
"216",216,"FC Schalke 04",220,"Alessandro Schöpf","2016/1/7","1.FC Nuremberg",4250000,"
                                Midfield                            ","Austria","Umhausen",33,5,7,1,1,6,0,0,0,571,2854,29.7330595482546,"1994/2/7",21.9137577002053,"Bundesliga","Middle Club",8920
"217",217,"FC Schalke 04",217,"Johannes Geis","2015/7/1","1.FSV Mainz 05",10200000,"
                                Midfield                            ","Germany","Schweinfurt",37,5,5,2,2,5,0,0,1,639,3196,23.9835728952772,"1993/8/17",21.8699520876112,"Bundesliga","Middle Club",3790
"218",218,"FC Schalke 04",219,"Franco Di Santo","2015/7/25","Werder Bremen",5100000,"
                                Attacker                            ","Argentina","Mendoza",28,14,2,0,0,8,0,0,3,177,2474,11.2032854209446,"1989/4/7",26.2970568104038,"Bundesliga","Middle Club",14300
"219",219,"FC Schalke 04",221,"Júnior Caiçara","2015/7/1","Ludogorets",3830000,"
                                Defender                            ","Brazil","São Paulo",44,0,9,2,2,8,0,1,0,NA,3806,23.9835728952772,"1989/4/27",26.17659137577,"Bundesliga","Middle Club",1530
"220",220,"FC Schalke 04",218,"Matija Nastasic","2015/7/1","Manchester City",8080000,"
                                Defender                            ","Serbia","Valjevo",19,0,0,0,0,3,0,0,0,NA,1710,23.9835728952772,"1993/3/28",22.258726899384,"Bundesliga","Middle Club",14500
"221",221,"FC Schalke 04",223,"Sascha Riether","2015/7/23","SC Freiburg",0,"
                                Defender                            ","Germany","Lahr",21,0,1,4,4,3,0,0,0,NA,1493,23.2607802874743,"1983/3/23",32.3340177960301,"Bundesliga","Middle Club",25900
"222",222,"Fiorentina",530,"Joan Verdú","2015/8/28","Baniyas SC",0,"
                                Attacker                            ","Spain","Barcelona",2,0,0,0,0,0,0,0,0,NA,173,NA,"1983/5/5",32.3148528405202,"Serie A","Top Club",5470
"223",223,"Fiorentina",531,"Joan Verdú","2015/8/28","Baniyas SC",0,"
                                Attacker                            ","Spain","Barcelona",2,0,0,0,0,0,0,0,0,NA,173,NA,"1983/5/5",32.3148528405202,"Serie A","Top Club",5470
"224",224,"Fiorentina",529,"Luca Bittante","2015/7/1","Avellino",425000,"
                                Defender                            ","Italy","Bassano del Grappa",37,1,1,8,8,6,0,0,0,2597,2597,NA,"1993/8/14",21.8781656399726,"Serie A","Top Club",1010
"225",225,"Fiorentina",528,"Luca Bittante","2015/7/1","Avellino",425000,"
                                Defender                            ","Italy","Bassano del Grappa",37,1,1,8,8,6,0,0,0,2597,2597,NA,"1993/8/14",21.8781656399726,"Serie A","Top Club",1010
"226",226,"Fiorentina",521,"Mario Suárez","2015/7/22","Atlético Madrid",12750000,"
                                Midfield                            ","Spain","Madrid",35,2,1,11,11,13,1,0,0,1177,2353,NA,"1987/2/24",28.4052019164955,"Serie A","Top Club",215000
"227",227,"Fiorentina",522,"Mario Suárez","2015/7/22","Atlético Madrid",12750000,"
                                Midfield                            ","Spain","Madrid",35,2,1,11,11,13,1,0,0,1177,2353,NA,"1987/2/24",28.4052019164955,"Serie A","Top Club",215000
"228",228,"Fiorentina",523,"Nikola Kalinic","2015/8/14","Dnipro",4680000,"
                                Attacker                            ","Croatia","Solin",47,19,2,22,22,6,1,0,2,135,2572,52.5667351129363,"1988/1/5",27.605749486653,"Serie A","Top Club",12500
"229",229,"Fiorentina",524,"Andrés Schetino","2016/1/21","CA Fénix",2980000,"
                                Midfield                            ","Uruguay","Montevideo",19,2,2,1,1,8,0,0,0,786,1572,NA,"1994/5/26",21.6563997262149,"Serie A","Top Club",1840
"230",230,"Fiorentina",525,"Jaime Báez","2015/8/24","Juventud",1960000,"
                                Attacker                            ","Uruguay","Montevideo",20,6,6,3,3,2,0,1,2,264,1583,NA,"1995/4/25",20.331279945243,"Serie A","Top Club",544
"231",231,"Fiorentina",526,"Mauro Zárate","2016/1/21","West Ham",1790000,"
                                Attacker                            ","Argentina","Haedo",12,2,1,7,7,2,0,0,0,264,527,17.2813141683778,"1987/3/18",28.8459958932238,"Serie A","Top Club",17600
"232",232,"Frosinone",732,"Oliver Kragl","2016/1/4","SV  Ried",340000,"
                                Midfield                            ","Germany","Wolfsburg",34,3,10,2,2,7,0,0,0,949,2847,5.84804928131417,"1990/5/12",25.6481861738535,"Serie A","Promoted",350
"233",233,"Frosinone",733,"Aleksandar Tonev","2015/8/27","Aston Villa",0,"
                                Attacker                            ","Bulgaria","Elin Pelin",13,0,1,9,9,2,0,0,0,NA,487,22.1108829568789,"1990/2/3",25.5605749486653,"Serie A","Promoted",27400
"234",234,"Frosinone",734,"Modibo Diakité","2015/7/10","Cagliari Calcio",0,"
                                Defender                            ","France","Bourg-La-Reine",12,0,1,1,1,2,0,1,0,NA,985,NA,"1987/3/2",28.3559206023272,"Serie A","Promoted",24500
"235",235,"Frosinone",735,"Modibo Diakité","2015/7/10","Cagliari Calcio",0,"
                                Defender                            ","France","Bourg-La-Reine",12,0,1,1,1,2,0,1,0,NA,985,NA,"1987/3/2",28.3559206023272,"Serie A","Promoted",24500
"236",236,"G. Ajaccio",878,"Jacques Zoua","2015/8/6","Hamburger SV",0,"
                                Attacker                            ","Cameroon","Garoua",24,8,0,4,4,3,0,0,0,230,1840,10.8090349075975,"1991/9/6",23.9151266255989,"Ligue 1","Promoted",2880
"237",237,"G. Ajaccio",879,"Alassane Touré","2015/7/1","FC Tours",0,"
                                Defender                            ","France","Sarcelles",20,0,0,0,0,8,0,0,0,NA,1769,NA,"1989/2/9",26.3874058863792,"Ligue 1","Promoted",19700
"238",238,"G. Ajaccio",880,"Damjan Djokovic","2015/7/22","Bologna",0,"
                                Midfield                            ","Croatia","Zagreb",34,1,2,5,5,10,1,0,0,2555,2555,NA,"1990/4/18",25.2594113620808,"Ligue 1","Promoted",641
"239",239,"G. Ajaccio",881,"Amine Chermiti","2016/1/30","FC Zürich",0,"
                                Attacker                            ","Tunisia","Sfax",37,14,4,14,14,9,0,0,2,151,2118,4.99383983572895,"1987/12/26",28.0958247775496,"Ligue 1","Promoted",4220
"240",240,"G. Ajaccio",882,"Issiar Dia","2015/8/13","Lekhwiya",0,"
                                Attacker                            ","Senegal","Sèvres",18,2,0,5,5,3,0,0,0,583,1166,NA,"1987/6/8",28.1806981519507,"Ligue 1","Promoted",16700
"241",241,"G. Bordeaux",785,"Mauro Arambarri","2016/1/31","Defensor",2550000,"
                                Midfield                            ","Uruguay","Salto",19,1,1,2,2,6,0,0,0,1451,1451,NA,"1995/9/30",20.3367556468172,"Ligue 1","Middle Club",391
"242",242,"G. Bordeaux",786,"Pablo","2015/8/31","Ponte Preta",1700000,"
                                Defender                            ","Brazil","São Luís",18,1,0,0,0,7,0,0,0,1620,1620,NA,"1991/6/21",24.1943874058864,"Ligue 1","Middle Club",479000
"243",243,"G. Bordeaux",787,"Milan Gajic","2015/7/22","OFK Beograd",850000,"
                                Defender                            ","Serbia","Vukovar",25,2,0,1,1,9,0,0,0,1031,2062,17.347022587269,"1996/1/28",19.4798083504449,"Ligue 1","Middle Club",795
"244",244,"G. Bordeaux",784,"Malcom","2016/1/31","Corinthians",4250000,"
                                Attacker                            ","Brazil","São Paulo",34,5,4,4,4,1,0,0,0,500,2498,NA,"1997/2/26",18.9267624914442,"Ligue 1","Middle Club",53100
"245",245,"Genoa",546,"Darko Lazovic","2015/7/1","Red Star",0,"
                                Attacker                            ","Serbia","Cacak",30,10,5,0,0,0,0,0,1,260,2600,NA,"1990/9/15",24.7912388774812,"Serie A","Middle Club",6300
"246",246,"Genoa",545,"Luca Rigoni","2016/1/4","US Palermo",425000,"
                                Midfield                            ","Italy","Schio",32,9,1,0,0,11,0,0,0,307,2767,17.8398357289528,"1984/12/7",31.0746064339493,"Serie A","Middle Club",4420
"247",247,"Genoa",541,"Leonardo Pavoletti","2015/7/1","Sassuolo",2550000,"
                                Attacker                            ","Italy","Livorno",22,7,4,16,16,5,0,0,0,119,834,NA,"1988/11/26",26.5927446954141,"Serie A","Middle Club",2760
"248",248,"Genoa",542,"Riccardo Fiamozzi","2016/2/1","Pescara",1280000,"
                                Defender                            ","Italy","Trento",42,0,2,1,1,8,0,0,0,NA,3694,28.911704312115,"1993/5/18",22.7077344284736,"Serie A","Middle Club",224
"249",249,"Genoa",543,"Diego Capel","2015/8/18","Sporting CP",1110000,"
                                Attacker                            ","Spain","Albox",27,1,3,22,22,0,0,0,0,702,702,10.4147843942505,"1988/2/16",27.501711156742,"Serie A","Middle Club",33800
"250",250,"Genoa",547,"Goran Pandev","2015/7/7","Galatasaray",0,"
                                Attacker                            ","Macedonia","Strumica",17,7,2,4,4,1,0,0,0,148,1036,NA,"1983/7/27",31.9452429842574,"Serie A","Middle Club",14700
"251",251,"Genoa",549,"Manuel Milinkovic","2016/1/28","Salernitana",0,"
                                Attacker                            ","Serbia","Antibes",3,0,0,2,2,1,0,0,0,NA,71,5.05954825462012,"1994/5/20",21.6919917864476,"Serie A","Middle Club",52
"252",252,"Genoa",550,"Serge Gakpé","2015/7/1","FC Nantes",0,"
                                Attacker                            ","Togo","Bondy",37,4,3,9,9,7,0,0,1,626,2505,NA,"1987/5/7",28.1505817932923,"Serie A","Middle Club",2960
"253",253,"Genoa",544,"Issa Cissokho","2015/7/20","FC Nantes",425000,"
                                Defender                            ","Senegal","Paris",37,0,0,1,1,6,0,0,0,NA,3248,NA,"1985/2/23",30.4010951403149,"Serie A","Middle Club",984
"254",254,"Genoa",548,"Ezequiel Muñoz","2015/7/18","US Palermo",0,"
                                Defender                            ","Argentina","Pergamino",18,1,0,1,1,3,0,0,0,1480,1480,NA,"1990/10/8",24.7748117727584,"Serie A","Middle Club",4900
"255",255,"Getafe CF",419,"Cala","2015/7/1","Granada CF",0,"
                                Defender                            ","Spain","Lebrija, Sevilla",10,0,0,1,1,3,0,0,0,NA,788,NA,"1989/11/26",25.5934291581109,"La Liga","Middle Club",145000
"256",256,"Getafe CF",421,"Henok Goitom","2016/3/22","AIK Solna",0,"
                                Attacker                            ","Eritrea","Solna",33,19,7,1,1,3,0,0,0,150,2842,NA,"1984/9/22",31.4962354551677,"La Liga","Middle Club",2370
"257",257,"Getafe CF",422,"Damián Suárez","2015/7/8","Elche CF",0,"
                                Defender                            ","Uruguay","Montevideo",37,1,1,0,0,14,1,0,0,3310,3310,NA,"1988/4/27",27.1950718685832,"La Liga","Middle Club",2230
"258",258,"Granada CF",434,"Rene Krhin","2015/7/23","Inter",1110000,"
                                Midfield                            ","Slovenia","Maribor",19,0,0,4,4,4,0,0,0,NA,1328,11.2689938398357,"1990/5/21",25.1718001368925,"La Liga","Buttom Club",2770
"259",259,"Granada CF",436,"Gaspar Íñiguez","2015/7/25","Argentinos",1020000,"
                                Midfield                            ","Argentina","Villa Jardín",14,0,1,0,0,2,0,0,0,NA,1226,NA,"1994/3/26",21.3305954825462,"La Liga","Buttom Club",375
"260",260,"Granada CF",437,"Ricardo Costa","2016/2/1","PAOK Saloniki",0,"
                                Defender                            ","Portugal","Vila Nova de Gaia",29,1,0,2,2,7,0,0,0,2447,2447,4.92813141683778,"1981/5/16",34.7132101300479,"La Liga","Buttom Club",14100
"261",261,"Granada CF",438,"Yrondu Musavu-King","2015/7/3","SM Caen",0,"
                                Defender                            ","Gabon","Libreville",6,1,0,0,0,0,0,0,0,479,479,NA,"1992/1/8",23.482546201232,"La Liga","Buttom Club",475
"262",262,"Granada CF",435,"Gaspar Íñiguez","2015/7/25","Argentinos",1020000,"
                                Midfield                            ","Argentina","Villa Jardín",14,0,1,0,0,2,0,0,0,NA,1226,NA,"1994/3/26",21.3305954825462,"La Liga","Buttom Club",375
"263",263,"Granada CF",442,"David Barral","2016/1/24","Al-Dhafra SCC",0,"
                                Attacker                            ","Spain","San Fernando ...",38,13,1,6,6,12,1,0,2,208,2706,NA,"1983/5/10",32.7091033538672,"La Liga","Buttom Club",7550
"264",264,"Granada CF",443,"Isaac Cuenca","2016/2/1","Bursaspor",0,"
                                Attacker                            ","Spain","Reus",29,2,3,13,13,1,0,0,1,812,1624,NA,"1991/4/27",24.766598220397,"La Liga","Buttom Club",9090
"265",265,"Granada CF",441,"Aridane Hernández","2015/7/6","CD Eldense",0,"
                                Defender                            ","Spain","Tuineje",40,1,0,0,0,13,0,0,0,3660,3660,NA,"1989/3/23",26.2861054072553,"La Liga","Buttom Club",233
"266",266,"Granada CF",444,"David Lombán","2015/8/10","Elche CF",0,"
                                Defender                            ","Spain","Avilés",36,5,0,1,1,10,0,0,3,633,3166,NA,"1987/6/5",28.1806981519507,"La Liga","Buttom Club",1160
"267",267,"Guingamp",813,"Jimmy Briand","2015/8/3","Hannover 96",0,"
                                Attacker                            ","France","Vitry-sur-Seine",30,3,8,4,4,2,0,0,0,718,2155,NA,"1985/8/2",30.0013689253936,"Ligue 1","Middle Club",6830
"268",268,"Guingamp",809,"Nicolas Benezet","2015/7/3","Évian",1020000,"
                                Attacker                            ","France","Montpellier",24,4,1,12,12,0,0,0,0,282,1127,NA,"1991/2/24",24.35318275154,"Ligue 1","Middle Club",29200
"269",269,"Guingamp",810,"Nill De Pauw","2015/7/1","KSC Lokeren",638000,"
                                Attacker                            ","Belgium","Kinshasa",47,8,6,2,2,3,0,0,0,453,3625,NA,"1990/1/6",25.4811772758385,"Ligue 1","Middle Club",1280
"270",270,"Guingamp",812,"Jonathan Martins Pereira","2015/12/16","Troyes",0,"
                                Defender                            ","France","Bayonne",21,2,0,0,0,4,0,1,0,903,1805,NA,"1986/1/30",29.8754277891855,"Ligue 1","Middle Club",1310
"271",271,"Hamburger SV",308,"Batuhan Altintas","2015/7/4","Bursaspor",340000,"
                                Attacker                            ","Turkey","Kocaeli",1,0,0,1,1,0,0,0,0,NA,40,NA,"1996/3/14",19.3045859000684,"Bundesliga","Buttom Club",1540
"272",272,"Hamburger SV",307,"Gotoku Sakai","2015/7/6","VfB Stuttgart",595000,"
                                Defender                            ","Japan","New York City, New ...",19,1,1,1,1,0,0,0,0,1526,1526,11.8275154004107,"1991/3/14",24.3121149897331,"Bundesliga","Buttom Club",6090
"273",273,"Hamburger SV",309,"Nabil Bahoui","2016/2/1","Ahli",0,"
                                Attacker                            ","Sweden","Stockholm",12,6,2,0,0,6,0,0,1,156,934,15.9014373716632,"1991/2/5",24.9883641341547,"Bundesliga","Buttom Club",3450
"274",274,"Hamburger SV",302,"Lewis Holtby","2015/7/1","Spurs",5530000,"
                                Midfield                            ","Germany","Erkelenz",28,0,2,7,7,7,0,0,0,NA,1916,35.9753593429158,"1990/9/18",24.7830253251198,"Bundesliga","Buttom Club",21200
"275",275,"Hamburger SV",304,"Aaron Hunt","2015/8/31","VfL Wolfsburg",2550000,"
                                Midfield                            ","Germany","Goslar",22,4,1,15,15,1,0,0,0,204,817,21.9794661190965,"1986/9/4",28.9883641341547,"Bundesliga","Buttom Club",11500
"276",276,"Hamburger SV",303,"Albin Ekdal","2015/7/18","Cagliari Calcio",3830000,"
                                Midfield                            ","Sweden","Bromma",34,5,3,1,1,7,0,0,0,557,2783,11.4332648870637,"1989/7/28",25.9712525667351,"Bundesliga","Buttom Club",11400
"277",277,"Hamburger SV",306,"Sven Schipplock","2015/7/24","TSG Hoffenheim",2130000,"
                                Attacker                            ","Germany","Reutlingen",30,10,4,17,17,5,0,0,0,121,1205,11.2361396303901,"1988/11/8",26.7049965776865,"Bundesliga","Buttom Club",9480
"278",278,"Hamburger SV",305,"Michael Gregoritsch","2015/7/23","VfL Bochum",2550000,"
                                Attacker                            ","Austria","Graz",27,7,4,8,8,3,0,0,1,240,1681,35.2525667351129,"1994/4/18",21.2621492128679,"Bundesliga","Buttom Club",10400
"279",279,"Hannover 96",282,"Iver Fossum","2016/1/1","Strømsgodset",1700000,"
                                Midfield                            ","Norway","Drammen",34,12,9,0,0,0,0,0,0,254,3042,23.9835728952772,"1996/7/15",19.4633812457221,"Bundesliga","Middle Club",722
"280",280,"Hannover 96",285,"Hotaru Yamaguchi","2016/1/1","Cerezo Osaka",850000,"
                                Midfield                            ","Japan","Nabari, Mie",37,1,4,0,0,6,0,0,0,3330,3330,11.9917864476386,"1990/10/6",25.2375085557837,"Bundesliga","Middle Club",3400
"281",281,"Hannover 96",280,"Felix Klaus","2015/7/1","SC Freiburg",2550000,"
                                Attacker                            ","Germany","Osnabrück",34,2,3,5,5,5,0,0,0,1194,2388,23.9835728952772,"1992/9/13",22.7953456536619,"Bundesliga","Middle Club",2080
"282",282,"Hannover 96",278,"Oliver Sorg","2015/7/1","SC Freiburg",2980000,"
                                Defender                            ","Germany","Engen",27,1,3,1,1,5,0,0,0,2230,2230,11.9917864476386,"1990/5/29",25.0896646132786,"Bundesliga","Middle Club",2110
"283",283,"Hannover 96",283,"Marius Wolf","2016/1/8","1860 Munich",1280000,"
                                Attacker                            ","Germany","Coburg",36,5,6,13,13,4,0,0,0,430,2151,41.6919917864476,"1995/5/27",20.6187542778919,"Bundesliga","Middle Club",279
"284",284,"Hannover 96",281,"Uffe Bech","2015/7/8","Nordsjaelland",1700000,"
                                Attacker                            ","Denmark","Kopenhagen",27,10,2,3,3,2,0,0,2,211,2111,11.7618069815195,"1993/1/13",22.4804928131417,"Bundesliga","Middle Club",2310
"285",285,"Hannover 96",279,"Mevlüt Erdinc","2015/7/17","Saint-Étienne",2810000,"
                                Attacker                            ","Turkey","Saint-Claude",36,9,1,10,10,2,0,0,1,247,2221,23.4579055441478,"1987/2/25",28.3887748117728,"Bundesliga","Middle Club",5010
